l1d_size,l1i_size,l2_size,Unrolling_Factor,Total_Memory,Cycles
16,4,128,32,148,47110927
16,4,256,2,276,42748247
16,4,256,4,276,42561729
16,4,256,8,276,42363562
16,4,256,16,276,42360319
16,4,256,32,276,47101390
16,4,512,2,532,42734997
16,4,512,4,532,42544140
16,4,512,8,532,42352880
16,4,512,16,532,42343078
16,4,512,32,532,47042719
16,4,1024,2,1044,42769446
16,4,1024,4,1044,42581413
16,4,1024,8,1044,42398233
16,4,1024,16,1044,42369624
16,4,1024,32,1044,47128376
16,8,128,2,152,42766609
16,8,128,4,152,42570451
16,8,128,8,152,42371057
16,8,128,16,152,42369413
16,8,128,32,152,42467942
16,8,256,2,280,42742783
16,8,256,4,280,42555031
16,8,256,8,280,42356997
16,8,256,16,280,42352442
16,8,256,32,280,42452314
16,8,512,2,536,42726934
16,8,512,4,536,42534460
16,8,512,8,536,42346590
16,8,512,16,536,42335292
16,8,512,32,536,42427024
16,8,1024,2,1048,42761537
16,8,1024,4,1048,42573350
16,8,1024,8,1048,42390342
16,8,1024,16,1048,42361770
16,8,1024,32,1048,42453629
16,16,128,2,160,42751645
16,16,128,4,160,42559485
16,16,128,8,160,42378712
16,16,128,16,160,42358218
16,16,128,32,160,42456246
16,16,256,2,288,42734115
16,16,256,4,288,42547015
16,16,256,8,288,42349101
16,16,256,16,288,42344527
16,16,256,32,288,42384833
16,16,512,2,544,42741671
16,16,512,4,544,42552683
16,16,512,8,544,42360197
16,16,512,16,544,42350673
16,16,512,32,544,42417588
16,16,1024,2,1056,42726342
16,16,1024,4,1056,42544720
16,16,1024,8,1056,42361625
16,16,1024,16,1056,42333273
16,16,1024,32,1056,42445737
16,32,128,2,176,42745520
16,32,128,4,176,42555990
16,32,128,8,176,42354900
16,32,128,16,176,42353261
16,32,128,32,176,42454881
16,32,256,2,304,42725872
16,32,256,4,304,42538761
16,32,256,8,304,42340931
16,32,256,16,304,42336364
16,32,256,32,304,42436197
16,32,512,2,560,42710975
16,32,512,4,560,42518388
16,32,512,8,560,42330509
16,32,512,16,560,42319234
16,32,512,32,560,42417588
16,32,1024,2,1072,42714558
16,32,1024,4,1072,42532684
16,32,1024,8,1072,42345655
16,32,1024,16,1072,42317226
16,32,1024,32,1072,42442434
16,64,128,2,208,42742522
16,64,128,4,208,42550467
16,64,128,8,208,42369755
16,64,128,16,208,42349015
